poiID,theme,subTheme,poiName,lat,long,algo,eventSignal,timeStarted,timeEnded,eventID
77,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Melbourne Zoo,-37.7844449254,144.951371205938,tweetVol,2.631228568361621E-14,1.4834826E9,1.4834832E9,1
35,Community Use,Police Station,Victoria Police,-37.8164849024,144.966486801188,tweetVol,2.7702958977582348E-5,1.4835114E9,1.483512E9,2
35,Community Use,Police Station,Victoria Police,-37.8164849024,144.966486801188,tweetVol,1.7859346863602354E-6,1.483599E9,1.4835996E9,3
11,Place of Worship,Church,Welsh Presbyterian Church,-37.8104478768,144.959873260087,tweetVol,0.0,1.4842968E9,1.4842974E9,4
11,Place of Worship,Church,Welsh Presbyterian Church,-37.8104478768,144.959873260087,tweetVol,0.0,1.4843004E9,1.484301E9,5
220,Place Of Assembly,Art Gallery/Museum,Royal Exhibition Building,-37.8046026243,144.971521914952,tweetVol,1.9872992140790302E-14,1.4843802E9,1.4843808E9,6
135,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Alexandra Gardens,-37.8206051404,144.971796067365,tweetVol,8.881784197001252E-16,1.4844828E9,1.4844834E9,7
120,Leisure/Recreation,Major Sports & Recreation Facility,Rod Laver Arena,-37.822045612,144.978487173787,tweetVol,1.1102230246251565E-16,1.4845626E9,1.4845632E9,8
121,Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Park,-37.820908597,144.978735802793,tweetVol,1.1751266626447432E-11,1.4845626E9,1.4845632E9,9
122,Leisure/Recreation,Major Sports & Recreation Facility,Margaret Court Arena,-37.8213252087,144.977591098955,tweetVol,5.551115123125783E-15,1.4845686E9,1.4845692E9,10
62,Place Of Assembly,Theatre Live,Princess Theatre,-37.8107257091,144.9723265962,tweetVol,0.0,1.4846394E9,1.48464E9,11
120,Leisure/Recreation,Major Sports & Recreation Facility,Rod Laver Arena,-37.822045612,144.978487173787,tweetVol,8.728140432623377E-11,1.4846508E9,1.4846514E9,12
32,Place of Worship,Church,The Parish of Christ Church South Yarra,-37.8386270534,144.986009385387,tweetVol,0.0,1.4846514E9,1.484652E9,13
63,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Treasury Gardens,-37.8143993576,144.975952335785,tweetVol,0.0,1.484826E9,1.4848266E9,14
120,Leisure/Recreation,Major Sports & Recreation Facility,Rod Laver Arena,-37.822045612,144.978487173787,tweetVol,1.5973378175715425E-9,1.4848872E9,1.4848878E9,15
65,Community Use,Public Buildings,State Library Victoria,-37.8099852201,144.964330322397,tweetVol,7.771561172376096E-16,1.4849646E9,1.4849652E9,16
121,Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Park,-37.820908597,144.978735802793,tweetVol,1.8495945552921E-8,1.4850564E9,1.485057E9,17
35,Community Use,Police Station,Victoria Police,-37.8164849024,144.966486801188,tweetVol,6.681154525178812E-7,1.4850654E9,1.485066E9,18
235,Retail,Department Store,Myer,-37.8135911985,144.963855087868,tweetVol,7.960871961643079E-10,1.4851188E9,1.4851194E9,19
38,Community Use,Visitor Centre,Melbourne Visitor Booth,-37.8139525061,144.964425882562,tweetVol,1.509425917589624E-11,1.4852532E9,1.4852538E9,20
32,Place of Worship,Church,The Parish of Christ Church South Yarra,-37.8386270534,144.986009385387,tweetVol,2.2426505097428162E-14,1.4852598E9,1.4852604E9,21
35,Community Use,Police Station,Victoria Police,-37.8164849024,144.966486801188,tweetVol,1.0182809911385426E-5,1.4853126E9,1.4853132E9,22
35,Community Use,Police Station,Victoria Police,-37.8164849024,144.966486801188,tweetVol,1.1204865461689195E-5,1.4853492E9,1.4853498E9,23
130,Community Use,Public Buildings,NGV International,-37.8230135001,144.969342535451,tweetVol,4.93994845029988E-11,1.4854098E9,1.4854104E9,24
121,Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Park,-37.820908597,144.978735802793,tweetVol,5.0612137925121203E-8,1.485525E9,1.4855256E9,25
35,Community Use,Police Station,Victoria Police,-37.8164849024,144.966486801188,tweetVol,1.2376267601643676E-5,1.4855742E9,1.4855748E9,26
120,Leisure/Recreation,Major Sports & Recreation Facility,Rod Laver Arena,-37.822045612,144.978487173787,tweetVol,4.694754551781699E-8,1.485591E9,1.4855916E9,27
120,Leisure/Recreation,Major Sports & Recreation Facility,Rod Laver Arena,-37.822045612,144.978487173787,tweetVol,1.333650079260451E-9,1.4855928E9,1.4855934E9,28
120,Leisure/Recreation,Major Sports & Recreation Facility,Rod Laver Arena,-37.822045612,144.978487173787,tweetVol,1.4901542222389708E-9,1.4855952E9,1.4855958E9,29
38,Community Use,Visitor Centre,Melbourne Visitor Booth,-37.8139525061,144.964425882562,tweetVol,1.8185453143360064E-13,1.4856366E9,1.4856372E9,30
235,Retail,Department Store,Myer,-37.8135911985,144.963855087868,tweetVol,8.370790727241229E-10,1.4856372E9,1.4856378E9,31
120,Leisure/Recreation,Major Sports & Recreation Facility,Rod Laver Arena,-37.822045612,144.978487173787,tweetVol,5.540745640075784E-11,1.485678E9,1.4856786E9,32
120,Leisure/Recreation,Major Sports & Recreation Facility,Rod Laver Arena,-37.822045612,144.978487173787,tweetVol,9.050167149027288E-8,1.485681E9,1.4856816E9,33
120,Leisure/Recreation,Major Sports & Recreation Facility,Rod Laver Arena,-37.822045612,144.978487173787,tweetVol,1.0500159974835555E-7,1.4856918E9,1.4856924E9,34
121,Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Park,-37.820908597,144.978735802793,tweetVol,6.661338147750939E-16,1.4856924E9,1.485693E9,35
120,Leisure/Recreation,Major Sports & Recreation Facility,Rod Laver Arena,-37.822045612,144.978487173787,tweetVol,3.5611190662976355E-9,1.4856936E9,1.4856942E9,36
120,Leisure/Recreation,Major Sports & Recreation Facility,Rod Laver Arena,-37.822045612,144.978487173787,tweetVol,1.3050754454901892E-7,1.4856954E9,1.485696E9,37
35,Community Use,Police Station,Victoria Police,-37.8164849024,144.966486801188,tweetVol,2.900248707859987E-9,1.485822E9,1.4858226E9,38
